aha_id,mstate,mcrnum,year,national_network,vendor_network,hio,tefca_part,tefca_plan
6730010,OK,370020,2025,1,1,1,0,1
6730020,OK,370022,2025,1,0,1,1,0
6730024,OK,370093,2022,1,0,1,0,1
6730029,OK,370202,2025,0,1,0,0,0
6730030,OK,371341,2025,0,1,1,1,0
6730038,OK,370211,2022,1,1,0,0,0
6730051,OK,370149,2025,0,1,1,1,0
6730055,OK,370047,2025,1,1,1,0,1
6730067,OK,370220,2025,0,0,0,0,0
6730069,OK,370227,2023,1,0,1,0,1
6730072,OK,370228,2024,0,1,1,0,0
6730074,OK,370008,2024,0,0,1,0,1
6730100,OK,370030,2024,0,0,1,0,1
6730102,OK,371307,2023,0,0,0,0,0
6730104,OK,370041,2023,1,0,0,0,0
6730106,OK,370218,2022,0,0,0,0,0
6730110,OK,371334,2025,1,0,1,0,1
6730123,OK,371303,2024,1,0,1,0,1
6730155,OK,370054,2025,1,0,1,0,1
6730170,OK,370039,2024,0,1,1,0,0
6730220,OK,371319,2023,0,0,0,0,0
6730230,OK,371325,2025,0,1,0,0,0
6730235,OK,370023,2025,0,1,1,0,1
6730240,OK,370099,2025,0,1,0,0,0
6730270,OK,370014,2025,0,0,0,0,0
6730310,OK,370019,2025,0,0,1,0,0
6730360,OK,370016,2023,1,1,1,0,1
6730380,OK,370026,2023,1,0,1,0,0
6730400,OK,371329,2025,0,1,1,1,0
6730450,OK,371340,2025,1,0,0,0,0
6730471,OK,371317,2025,1,1,1,0,1
6730479,OK,371310,2025,1,1,1,0,1
6730485,OK,370183,2025,0,0,0,0,0
6730505,OK,371321,2023,0,1,0,0,1
6730515,OK,371338,2025,1,0,1,1,0
6730545,OK,371313,2025,1,1,1,0,1
6730555,OK,370056,2025,0,0,1,0,1
6730570,OK,370097,2024,1,0,0,0,1
6730577,OK,371326,2025,0,0,0,0,0
6730580,OK,371330,2024,1,0,1,0,0
6730585,OK,371306,2025,0,1,1,0,0
6730590,OK,370034,2023,0,0,1,0,0
6730710,OK,371327,2023,0,1,0,0,0
6730728,OK,370028,2025,0,1,1,0,1
6730797,OK,370094,2025,0,1,1,1,0
6730800,OK,370013,2025,1,1,1,0,1
6730830,OK,370037,2025,0,1,1,1,0
6730947,OK,370139,2024,0,0,1,0,1
6730960,OK,370006,2023,0,1,0,0,0
