term,estimate,conventional_se,conventional_p_value,conventional_conf_low,conventional_conf_high,robust_se_hc1,statistic_hc1,robust_p_value_hc1,robust_conf_low_hc1,robust_conf_high_hc1
mstateNV,-2.0761884092811638,1.4640580822307065,0.15682555123971934,-4.953129670617253,0.8007528520549259,1.85520241217758,-1.119116919885953,0.2636643167894109,-5.721746213648975,1.5693693950866474
mstateNY,-2.284998414359062,1.1941272829875067,0.05628999773223353,-4.6315132783592174,0.061516449641093374,1.8445824257623638,-1.2387618912799057,0.21605463325535296,-5.909687458475085,1.3396906297569613
mstateOH,-2.008614411538099,1.1762154143421317,0.08835657258221766,-4.319931632358008,0.3027028092818109,1.8219098197514105,-1.102477405721521,0.2708207923321427,-5.588750745261961,1.571521922185763
mstateOK,-2.318105533422359,1.2082573765794722,0.05564898084495051,-4.692386679221476,0.056175612376759165,1.877329544886293,-1.2347888199686128,0.2175286972241847,-6.007144168132476,1.3709331012877586
mstateOR,-0.6744296543564725,1.1892758872665123,0.5709231075715165,-3.0114113033194676,1.6625519946065226,1.8754516985760115,-0.3596091836801512,0.7193016225207023,-4.359778234964184,3.0109189262512386
mstatePA,-2.1870278352638937,1.172980654136355,0.0628766502134025,-4.491988603959754,0.11793293343196654,1.8391942285075127,-1.1891228242047303,0.2349943164743476,-5.801128824715391,1.4270731541876045
mstateRI,-1.9568424492621896,1.7501285379546974,0.2640921075746827,-5.395925272951867,1.4822403744274886,1.8114445159396075,-1.0802662913730832,0.2805799948311098,-5.516413981142453,1.6027290826180733
mstateSC,-1.0430627052702957,1.3166477730192814,0.42863909133517664,-3.6303359499724435,1.5442105394318524,1.866335667856043,-0.5588826936306244,0.5765090982285923,-4.710497867526513,2.6243724569859213
mstateSD,-1.5555414735362252,1.3669062378899344,0.2557020619395994,-4.241574906152152,1.1304919590797025,2.0738431695603357,-0.7500767157171326,0.45358541063883984,-5.630738391241551,2.519655444169101
mstateTN,-1.8243503860338657,1.7532437584225251,0.29861837008693387,-5.269554760781407,1.6208539887136753,1.9654118486128356,-0.928228038984028,0.3537677700956452,-5.686474786302085,2.0377740142343534
mstateTX,-2.436881556278335,1.210401856962313,0.044656886797473754,-4.8153767043581,-0.05838640819856966,1.87499182639554,-1.2996758289677264,0.19435190007674633,-6.121326466965435,1.2475633544087654
mstateUT,-1.8735013011972577,1.2191706370771265,0.12504220839932872,-4.26922750426731,0.522224901872794,1.8468741442361991,-1.014417418232941,0.31090776444407514,-5.50269367719387,1.7556910747993546
mstateVA,-1.0696928531394387,1.2063001919088694,0.3756662105822083,-3.4401280413203095,1.3007423350414318,1.8676251905298213,-0.5727556356401364,0.5670852221357248,-4.739661986576614,2.600276280297736
mstateWA,0.08631705552318532,1.2013286038845563,0.942750919521352,-2.274348734233466,2.4469828452798366,1.8823741972999932,0.045855417932839954,0.963445047889667,-3.612634552486434,3.7852686635328046
mstateWI,-1.031046686510596,1.2991104370482314,0.42779797851946855,-3.5838582619105583,1.521764888889366,1.854527255438113,-0.5559620024387412,0.5785025234416794,-4.675277776928177,2.6131844039069856
mstateWV,-2.961563587768676,1.5702896305354161,0.05991416513919585,-6.047254712435172,0.12412753689782008,1.9101825360647238,-1.5504086818163265,0.12171940144906691,-6.715159856514411,0.792032680977059
mstateWY,-1.395056230846112,1.3274200024981353,0.2938224688934187,-4.00349740040072,1.2133849387084956,2.0579486514846796,-0.6778868023940575,0.49817846999908344,-5.43901969173992,2.648907230047695
year2024,0.22747602167516323,0.19619771482682782,0.24687525283055212,-0.15806148398522107,0.6130135273355475,0.19082692809291976,1.1920540981742254,0.23384413429077452,-0.14750764179265308,0.6024596851429795
