term,estimate,hc3_se,hc3_statistic,hc3_p_value,hc3_conf_low,hc3_conf_high
mstateIL,0.012656527130618557,0.23125155436795908,0.054730560255953783,0.9563703369579736,-0.441453735306511,0.4667667895677481
mstateIN,-0.007430000759072361,0.26875069383188477,-0.027646443077539176,0.9779528257053569,-0.5351775804011462,0.5203175788830013
mstateKS,0.2206732423364177,0.2408862126870524,0.9160891355085796,0.3599679083347286,-0.25235666468313867,0.6937031493559741
mstateKY,0.4216571889679686,0.27073130455250766,1.5574748168296484,0.11985602243043131,-0.10997972952238261,0.9532941074583199
mstateLA,0.6042273261723948,0.2866691630498601,2.1077513875020526,0.035443836575526355,0.041293125703984135,1.1671615266408055
mstateMA,-0.5009029542622643,0.25531195903145093,-1.9619251529089552,0.05020759973298645,-1.0022607982602798,4.548897357512516e-4
mstateMD,-0.0891168007169859,0.2560776746447841,-0.3480069117333383,0.7279503246042919,-0.5919782857135378,0.413744684279566
mstateME,-0.21010187496199237,0.22946688768913964,-0.9156086835788648,0.36021974210758057,-0.6607075752088416,0.2405038252848569
mstateMI,-0.08579556200259081,0.2184808530567371,-0.39269144550763285,0.6946791724457391,-0.5148279107374947,0.3432367867323131
mstateMN,-0.10835127629855452,0.23447514128040017,-0.4621013370836665,0.6441669310966455,-0.5687917184518744,0.3520891658547653
mstateMO,-0.024634394217966784,0.22987265035181134,-0.10716539866863144,0.9146916137148215,-0.47603689338682387,0.42676810495089035
mstateMS,0.5065500437662936,0.36737324842274044,1.3788430320963407,0.16842865544654756,-0.21486332233883032,1.2279634098714176
mstateMT,-0.21535401333112553,0.23963654641609666,-0.8986693246579852,0.36916945056378647,-0.6859299421285092,0.2552219154662582
mstateNC,0.012758798762838487,0.2224964257435644,0.05734383696367099,0.9542893402038808,-0.424158957582122,0.44967655510779897
mstateND,-0.18973168148078673,0.2293321895605171,-0.8273225047228687,0.40836508032467844,-0.6400728740891652,0.26060951112759173
mstateNE,-0.030786632421466884,0.2313344339049307,-0.13308279230976472,0.8941700657287084,-0.4850596459734493,0.4234863811305155
mstateNH,-0.18753744808733042,0.4189313724977997,-0.44765672947617546,0.654553626576027,-1.0101958558462598,0.635120959671599
mstateNJ,-0.24084563481985252,0.2560648326973827,-0.9405650603512734,0.3472854480611032,-0.7436819019962667,0.2619906323565616
mstateNM,-0.15590338385532954,0.21074300332147564,-0.739779643443291,0.45970711479854287,-0.5697408640256418,0.25793409631498276
mstateNV,0.11505454808249423,0.29987532789797466,0.38367460534011905,0.7013480615687022,-0.47381268882044353,0.703921784985432
mstateNY,-0.0670354713132662,0.2552830990650216,-0.2625926728357055,0.7929497177890502,-0.5683366427973826,0.43426570017085014
mstateOH,-0.006798719238856861,0.2224649435303337,-0.030560856604941164,0.9756293620599057,-0.4436546537458999,0.43005721526818613
mstateOK,0.048931735411167694,0.2547826979419949,0.1920528191530013,0.847762230547878,-0.4513867949576378,0.5492502657799732
mstateOR,-0.046823049477158034,0.22533136130858156,-0.20779641682027514,0.8354545557457009,-0.4893077882233433,0.39566168926902723
mstatePA,-0.14224693524311546,0.22665579574452158,-0.6275901076160929,0.5304980998877391,-0.5873324749695549,0.302838604483324
mstateRI,0.2455186854079518,0.2864209648662252,0.8571952319294187,0.3916603844138581,-0.31692812658596875,0.8079654974018724
