term,estimate,std.error,statistic,p.value,conf.low,conf.high
mstateOR,-0.04682304947715217,0.2387365916819485,-0.19612849939455923,0.8445723379489029,-0.5156317309943067,0.4219856320400024
mstatePA,-0.14224693524310938,0.23644898079320073,-0.6015967367079461,0.5476573136477071,-0.6065634195774925,0.32206954909127367
mstateRI,0.24551868540795782,0.38039027279882587,0.6454389161991096,0.5188759337809397,-0.5014563006902973,0.992493671506213
mstateSC,-0.23874956768983574,0.27353527752280726,-0.8728291643110966,0.3830861261637487,-0.7758926671219304,0.29839353174225897
mstateSD,-0.1165556348498044,0.24603655211043246,-0.4737330036940564,0.6358531454098767,-0.5996992986982985,0.3665880289986897
mstateTN,0.41565363873599437,0.31070898927533736,1.3377586522534095,0.1814540235021625,-0.19448773327351732,1.025795010745506
mstateTX,0.0274315362412088,0.23461404590252802,0.11692196916720585,0.9069588582452774,-0.43328167387071176,0.4881447463531294
mstateUT,0.029843799627643035,0.23827757789660797,0.12524804008454662,0.9003668271234814,-0.43806351337290644,0.49775111262819255
mstateVA,-0.04989079348840842,0.24544661916908148,-0.20326535218657876,0.8389927518631806,-0.5318760019762483,0.43209441499943146
mstateWA,-0.07464311428267689,0.24302444605982806,-0.3071424109503007,0.7588356753204406,-0.5518718848329751,0.4025856562676214
mstateWI,0.1656450891899769,0.2608503391631504,0.6350196427629452,0.5256443444266083,-0.34658850983574674,0.6778786882157005
mstateWV,-0.012200383053440315,0.31295965755091154,-0.038983884213432796,0.9689154901772213,-0.6267614077830096,0.602360641676129
mstateWY,0.049269017760119015,0.27010725010919046,0.18240538800865985,0.8553228142055906,-0.4811424407422796,0.5796804762625176
year2024,-0.011964512990074734,0.038721389153396714,-0.30898976642280884,0.7574306625027731,-0.08800197028820181,0.06407294430805235
